name,type,rating,price,link,distance,lat,lng
樂幸拉麵/ 楽幸ラーメン/ Rakou Ramen,拉麵,4.7,$200-400,https://www.google.com/maps/place/%E6%A8%82%E5%B9%B8%E6%8B%89%E9%BA%B5%2F+%E6%A5%BD%E5%B9%B8%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%2F+Rakou+Ramen/data=!4m7!3m6!1s0x3442abc134c5fb9b:0xcb9c364db0b6dc4f!8m2!3d25.0360173!4d121.5373008!16s%2Fg%2F11qg0f44b7!19sChIJm_vFNMGrQjQRT9y2sE02nMs?authuser=0&hl=zh-TW&rclk=1,713.0,25.0360173,121.5373008
滝禾製麵所 大安瑞安店(拉麵專賣),拉麵,4.3,$200-400,https://www.google.com/maps/place/%E6%BB%9D%E7%A6%BE%E8%A3%BD%E9%BA%B5%E6%89%80+%E5%A4%A7%E5%AE%89%E7%91%9E%E5%AE%89%E5%BA%97%28%E6%8B%89%E9%BA%B5%E5%B0%88%E8%B3%A3%29/data=!4m7!3m6!1s0x3442abdfb9363307:0x3bcb721b38cbe049!8m2!3d25.0295208!4d121.542222!16s%2Fg%2F11pfbl4lxt!19sChIJBzM2ud-rQjQRSeDLOBtyyzs?authuser=0&hl=zh-TW&rclk=1,490.0,25.0295208,121.542222
醇一拉麵 總店,拉麵,4.5,$200-400,https://www.google.com/maps/place/%E9%86%87%E4%B8%80%E6%8B%89%E9%BA%B5+%E7%B8%BD%E5%BA%97/data=!4m7!3m6!1s0x3442ab73a33551d7:0x1a934da6d0a86049!8m2!3d25.0362808!4d121.5470012!16s%2Fg%2F11gj74wlkc!19sChIJ11E1o3OrQjQRSWCo0KZNkxo?authuser=0&hl=zh-TW&rclk=1,428.0,25.0362808,121.5470012
蒝山拉麵,拉麵,4.6,$200-400,https://www.google.com/maps/place/%E8%92%9D%E5%B1%B1%E6%8B%89%E9%BA%B5/data=!4m7!3m6!1s0x3442ab18b83fb847:0x42804cddbeb0de08!8m2!3d25.0372962!4d121.5463333!16s%2Fg%2F11t2r5vnyp!19sChIJR7g_uBirQjQRCN6wvt1MgEI?authuser=0&hl=zh-TW&rclk=1,473.0,25.0372962,121.5463333
博多拉麵 台灣總店,拉麵,4.0,$200-400,https://www.google.com/maps/place/%E5%8D%9A%E5%A4%9A%E6%8B%89%E9%BA%B5+%E5%8F%B0%E7%81%A3%E7%B8%BD%E5%BA%97/data=!4m7!3m6!1s0x3442abdb39b4b5a7:0xd46684b1cae5a89!8m2!3d25.0367345!4d121.5440287!16s%2Fg%2F1tfxvqhv!19sChIJp7W0OdurQjQRiVquHEtoRg0?authuser=0&hl=zh-TW&rclk=1,342.0,25.0367345,121.5440287
雞二拉麵,拉麵,4.3,$200-400,https://www.google.com/maps/place/%E9%9B%9E%E4%BA%8C%E6%8B%89%E9%BA%B5/data=!4m7!3m6!1s0x3442abcd98b153e9:0x72fba6fab63a247e!8m2!3d25.0328019!4d121.5497023!16s%2Fg%2F11c5559pkh!19sChIJ6VOxmM2rQjQRfiQ6tvqm-3I?authuser=0&hl=zh-TW&rclk=1,594.0,25.0328019,121.5497023
麵屋 緣,拉麵,4.3,$200-400,https://www.google.com/maps/place/%E9%BA%B5%E5%B1%8B+%E7%B7%A3/data=!4m7!3m6!1s0x3442abcd3947134f:0x5919fb8d1c87610e!8m2!3d25.0307116!4d121.5501588!16s%2Fg%2F11gzlhq_j!19sChIJTxNHOc2rQjQRDmGHHI37GVk?authuser=0&hl=zh-TW&rclk=1,712.0,25.0307116,121.5501588
農粹日式咖哩 / 漫拾泡芙,咖哩,4.9,$1-200,https://www.google.com/maps/place/%E8%BE%B2%E7%B2%B9%E6%97%A5%E5%BC%8F%E5%92%96%E5%93%A9+%2F+%E6%BC%AB%E6%8B%BE%E6%B3%A1%E8%8A%99/data=!4m7!3m6!1s0x3442ab21b273c6a9:0xabd327d9efaec33b!8m2!3d25.032908!4d121.5447925!16s%2Fg%2F11pr6xl3kl!19sChIJqcZzsiGrQjQRO8Ou79kn06s?authuser=0&hl=zh-TW&rclk=1,124.0,25.032908,121.5447925
木易子食所咖哩l 優格沙拉,咖哩,4.7,$200-400,https://www.google.com/maps/place/%E6%9C%A8%E6%98%93%E5%AD%90%E9%A3%9F%E6%89%80%E5%92%96%E5%93%A9l+%E5%84%AA%E6%A0%BC%E6%B2%99%E6%8B%89/data=!4m7!3m6!1s0x3442ab24592aebdb:0xae403a454804cb84!8m2!3d25.0350511!4d121.5448145!16s%2Fg%2F11gj782p7_!19sChIJ2-sqWSSrQjQRhMsESEU6QK4?authuser=0&hl=zh-TW&rclk=1,180.0,25.0350511,121.5448145
oncepoon,咖哩,4.8,$200-400,https://www.google.com/maps/place/oncepoon/data=!4m7!3m6!1s0x3442ab8642c1b33f:0x116eb65e13bf11e1!8m2!3d25.0355027!4d121.5450064!16s%2Fg%2F11jxsqcqcm!19sChIJP7PBQoarQjQR4RG_E162bhE?authuser=0&hl=zh-TW&rclk=1,233.0,25.0355027,121.5450064
