name,type,rating,price,link,distance,lat,lng
青島自助餐,自助餐,3.1,$1-200,https://www.google.com/maps/place/%E9%9D%92%E5%B3%B6%E8%87%AA%E5%8A%A9%E9%A4%90/data=!4m7!3m6!1s0x3442a9065572d49f:0x3a06ae7909ef4772!8m2!3d25.0439054!4d121.5223201!16s%2Fg%2F11kt22bgk7!19sChIJn9RyVQapQjQRckfvCXmuBjo?authuser=0&hl=zh-TW&rclk=1,580,25.0439054,121.5223201
正鋒自助餐,自助餐,4.0,$1-200,https://www.google.com/maps/place/%E6%AD%A3%E9%8B%92%E8%87%AA%E5%8A%A9%E9%A4%90/data=!4m7!3m6!1s0x3442a97a84dcbc35:0xbaf49299489b998a!8m2!3d25.0442887!4d121.5236934!16s%2Fg%2F11xbzl766!19sChIJNbzchHqpQjQRipmbSJmS9Lo?authuser=0&hl=zh-TW&rclk=1,682,25.0442887,121.5236934
佳欣食堂,自助餐,4.3,$1-200,https://www.google.com/maps/place/%E4%BD%B3%E6%AC%A3%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x3442a93d02847cb3:0xc526110d2b1285fe!8m2!3d25.0410154!4d121.5215984!16s%2Fg%2F11ljyb8w6k!19sChIJs3yEAj2pQjQR_oUSKw0RJsU?authuser=0&hl=zh-TW&rclk=1,761,25.0410154,121.5215984
十二廚 台北喜來登大飯店,自助餐,3.8,無資料,https://www.google.com/maps/place/%E5%8D%81%E4%BA%8C%E5%BB%9A+%E5%8F%B0%E5%8C%97%E5%96%9C%E4%BE%86%E7%99%BB%E5%A4%A7%E9%A3%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a971b0535025:0x9a800c32c8ff2768!8m2!3d25.0446184!4d121.5220051!16s%2Fg%2F1hc39zd5j!19sChIJJVBTsHGpQjQRaCf_yDIMgJo?authuser=0&hl=zh-TW&rclk=1,513,25.0446184,121.5220051
驊山自助餐,自助餐,3.8,$1-200,https://www.google.com/maps/place/%E9%A9%8A%E5%B1%B1%E8%87%AA%E5%8A%A9%E9%A4%90/data=!4m7!3m6!1s0x3442a970038d032d:0x76a0c8750b36207c!8m2!3d25.0458624!4d121.5251888!16s%2Fg%2F1tgmszgq!19sChIJLQONA3CpQjQRfCA2C3XIoHY?authuser=0&hl=zh-TW&rclk=1,781,25.0458624,121.5251888
自助餐 便當,自助餐,4.1,$1-200,https://www.google.com/maps/place/%E8%87%AA%E5%8A%A9%E9%A4%90+%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442a9cc2bcc290f:0xc72a7283dd0eafd0!8m2!3d25.0511396!4d121.5175823!16s%2Fg%2F11l24hkw_v!19sChIJDynMK8ypQjQR0K8O3YNyKsc?authuser=0&hl=zh-TW&rclk=1,487,25.0511396,121.5175823
八芳精緻美食快餐,自助餐,3.5,$1-200,https://www.google.com/maps/place/%E5%85%AB%E8%8A%B3%E7%B2%BE%E7%B7%BB%E7%BE%8E%E9%A3%9F%E5%BF%AB%E9%A4%90/data=!4m7!3m6!1s0x3442a90cd4cb78cb:0xe013a9a4f927cfa1!8m2!3d25.0457618!4d121.5141044!16s%2Fg%2F11c5265l86!19sChIJy3jL1AypQjQRoc8n-aSpE-A?authuser=0&hl=zh-TW&rclk=1,359,25.0457618,121.5141044
欣豐自助餐微風台大醫院店,自助餐,3.0,$1-200,https://www.google.com/maps/place/%E6%AC%A3%E8%B1%90%E8%87%AA%E5%8A%A9%E9%A4%90%E5%BE%AE%E9%A2%A8%E5%8F%B0%E5%A4%A7%E9%86%AB%E9%99%A2%E5%BA%97/data=!4m7!3m6!1s0x3442a976827e6d65:0x782577df920b5c64!8m2!3d25.0407794!4d121.5191598!16s%2Fg%2F11f3x5w21y!19sChIJZW1-gnapQjQRZFwLkt93JXg?authuser=0&hl=zh-TW&rclk=1,686,25.0407794,121.5191598
阿雄自助餐,自助餐,4.5,無資料,https://www.google.com/maps/place/%E9%98%BF%E9%9B%84%E8%87%AA%E5%8A%A9%E9%A4%90/data=!4m7!3m6!1s0x3442a986941c436f:0x42325169b51aa418!8m2!3d25.0447191!4d121.5121922!16s%2Fg%2F11s1y11rgl!19sChIJb0MclIapQjQRGKQatWlRMkI?authuser=0&hl=zh-TW&rclk=1,580,25.0447191,121.5121922
Checkers - 凱撒大飯店,自助餐,3.8,無資料,https://www.google.com/maps/place/Checkers+-+%E5%87%B1%E6%92%92%E5%A4%A7%E9%A3%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a972f0cbab67:0xbbd4deb5ba2c7daf!8m2!3d25.0462429!4d121.5163782!16s%2Fg%2F1tfxvqg4!19sChIJZ6vL8HKpQjQRr30surXe1Ls?authuser=0&hl=zh-TW&rclk=1,126,25.0462429,121.5163782
